X1;X2;X3;X4;X5;Y
0.1258223684;0.8741776316;-277.2989309211;0;278.2989309211;1
0;0;-0.2521869446;0;0;1
0;1;0.9983443709;0;0.0016556291;1
0;0;0.9897772293;0;0;1
0;1;-4.5211287761;0;5.5211287761;1
0.9835406854;0.0164593146;-1.7657650326;0;2.7657650326;1
0.2013888889;0.7986111111;-17.2604166667;17.0138888889;1.2465277778;1
0;1;-0.3886439128;0.2871312339;1.101512679;1
0.9771167048;0.0228832952;1;0;0;1
0.7426931137;0.2573068863;0.912090974;0.0244269137;0.0634821123;1
0.4967035909;0.5032964091;0.9952478163;0;0.0047521837;1
0.1160409556;0.8839590444;-688.542662116;0;689.542662116;1
0;1;-36.1694915254;0;37.1695924132;1
0.0786098469;0.9213901531;-4.8434698662;0;5.8434698662;1
0.2752415459;0.7247584541;-2.2929951691;1.479468599;1.81352657;1
0.6338028169;0.3661971831;-19.8497652582;0;20.8497652582;1
0;0;1;0;0;1
0.9186101856;0.0813898144;0.9492016789;0;0.0507983211;1
0.1815754339;0.8184245661;-7.5173564753;0;8.5173564753;1
0.0566534914;0.9433465086;-0.1907114625;0;1.1907114625;1
0.9408726393;0.0591273607;0.072273576;0;0.927726424;1
1;0;-2.8704607046;0;3.8704607046;1
0.3069306931;0.6930693069;-76.3886138614;0;77.3886138614;1
0.5052650823;0.4947349177;0.3963619744;0;0.6036380256;1
0.9692871522;0.0307128478;0.0283951892;0;0.9716048108;1
0;1;-3.8880597015;0;4.8880597015;1
0;1;-0.1872091765;0;1.1872091765;1
0.0701852892;0.9298147108;-1.621841662;0;2.621841662;1
0.5631804126;0.4368195874;0.435294616;0;0.564705384;1
0;1;-2.0912301354;0;3.0912301354;1
1;0;-0.0665987196;0;1.0665987196;1
1;0;-0.3593198588;0;1.3593198588;1
1;0;0.9689874399;0;0.0310125601;1
1;0;-2.8862449216;0;3.8862449216;1
0;1;0.2988235294;0;0.7011764706;1
0.5826501253;0.4173498747;0.0037125267;0;0.9962874733;1
0.0519830574;0.9480169426;-1.1303427031;0;2.1303427031;1
0.2276179999;0.7723820001;0.1201739222;0;0.8798260778;1
0.0396798933;0.9603201067;0.4454818273;0;0.5545181727;1
0.2534791252;0.7465208748;1;0;0;1
0.0034425451;0.9965574549;-0.7517806268;0;1.7517806268;1
0.8103562005;0.1896437995;-0.5610158311;0;1.5610158311;1
0.7150581514;0.2849418486;0.7567843297;0;0.2432156703;1
0.8408143162;0.1591856838;0.0906255131;0.2622557872;0.6471186997;1
0.9991869241;0.0008130759;-0.0000938165;0.2680648793;0.7320289372;1
0.5672582434;0.4327417566;-1.0792830493;0;2.0792830493;1
0;1;-36.472088215;0;37.472088215;1
0.1628117597;0.8371882403;-0.7447372714;0.0729907958;1.6717387083;1
0.0585725944;0.9414274056;0.5207730544;0;0.4792269456;1
0.9940273916;0.0059726084;0.8296776851;0.0756873648;0.0946349501;1
0;1;0.4176356589;0;0.5620155039;1
0.8308971644;0.1691028356;-1.66897371;0.0058881256;2.6630855844;0
0.9987506575;0.0012493425;-9.7280378748;0;10.7281036297;0
0.8179808401;0.1820191599;0.7022411028;0.2590922884;0.0386666089;0
0.7631327603;0.2368672397;0.8762094597;0;0.1237905403;0
0.9945813855;0.0054186145;0.9512112197;0;0.0487887803;0
0;1;-57.1120401338;0;58.1120401338;0
1;0;-0.0913771566;0;1.0913771566;0
0;1;0.5151515152;0;0.4848484848;0
0.1183169504;0.8816830496;-0.6619515704;0;1.6619515704;0
0.7848771267;0.2151228733;0.6209829868;0;0.3790170132;0
0;1;-942.8402061856;0;943.8402061856;0
0.2920110193;0.7079889807;0.9049586777;0;0.0950413223;0
0.3321217244;0.6678782756;-0.1938292477;0.0205128205;1.1733164272;0
0.7322004237;0.2677995763;-0.4964999539;0;1.4964999539;0
0;0;-34.1989319092;0;0;0
0;0;0.3671875;0;0;0
0;0;-1.3757674179;0;0;0
0.6285141337;0.3714858663;0.6709729667;0;0.3290270333;0
0.7774354126;0.2225645874;0.1400526386;0.0636507409;0.7962966205;0
0;1;-20.1761045426;0.1904169259;20.9856876167;0
1;0;-50.2018867925;0;51.2018867925;0
0.9620988283;0.0379011717;-0.037636271;0;1.037636271;0
0;1;-301.4494163424;0;302.4494163424;0
0.4615164521;0.5384835479;-9.9442060086;0;10.9442060086;0
0.025955606;0.974044394;0.7576058436;0.0242358698;0.2181582866;0
0.5524478341;0.4475521659;-8.042363778;0;9.042363778;0
0;1;-27.417107895;0;28.417107895;0
0.8226536627;0.1773463373;0.8245374168;0.1109591955;0.0645033877;0
0.9987476126;0.0012523874;-0.3970694136;0;1.3970694136;0
0;0;-4.6153846154;0;0;0
0.657063197;0.342936803;0.8299256506;0;0.1700743494;0
0;1;0.941814893;0;0.058185107;0
0.6446199408;0.3553800592;0.017769003;0;0.982230997;0
0.3741561364;0.6258438636;0.8677514281;0.0740003462;0.0582482257;0
0;1;0.8117489987;0;0.1882510013;0
0;1;-6.0575688939;1.6913929785;5.3661759154;0
0.3454436443;0.654559632;0.3256089011;0.2673201801;0.4070741952;0
0.2209716343;0.7790283657;0.2800569688;0;0.7199430312;0
0;1;0.9932330827;0;0.0067669173;0
0.1456019437;0.8543980563;-4.5416749306;3.0050327251;2.5366422055;0
0.7090940633;0.2909059367;-0.3658916114;0;1.3658916114;0
0.3780523316;0.6219476684;1;0;0;0
0.9979609151;0.0020390849;0.0125321863;0.9874678137;0;0
0.1462680565;0.8537319435;-0.3241940328;0.3763032599;0.9478907729;0
0.3854052072;0.6145947928;0.8921892189;0;0.1078107811;0
0.2839341565;0.7160658435;-0.117919838;0.2299549835;0.8879648546;0
0.0820052159;0.9179947841;0.9292958563;0;0.0707041437;0
0.9031601584;0.0968398416;0.946251956;0;0.053748044;0
0.9620328849;0.0379671151;-1.5461883408;0;2.5461883408;0
0.6594636999;0.3405363001;0.4286121809;0.3734845243;0.1979032948;0
