X1;X2;X3;X4;X5;Y
0.13;0.87;-277.3;0;278.3;1
0;0;-0.25;0;0;1
0;1;1;0;0;1
0;0;0.99;0;0;1
0;1;-4.52;0;5.52;1
0.98;0.02;-1.77;0;2.77;1
0.2;0.8;-17.26;17.01;1.25;1
0;1;-0.39;0.29;1.1;1
0.98;0.02;1;0;0;1
0.74;0.26;0.91;0.02;0.06;1
0.5;0.5;1;0;0;1
0.12;0.88;-688.54;0;689.54;1
0;1;-36.17;0;37.17;1
0.08;0.92;-4.84;0;5.84;1
0.28;0.72;-2.29;1.48;1.81;1
0.63;0.37;-19.85;0;20.85;1
0;0;1;0;0;1
0.92;0.08;0.95;0;0.05;1
0.18;0.82;-7.52;0;8.52;1
0.06;0.94;-0.19;0;1.19;1
0.94;0.06;0.07;0;0.93;1
1;0;-2.87;0;3.87;1
0.31;0.69;-76.39;0;77.39;1
0.51;0.49;0.4;0;0.6;1
0.97;0.03;0.03;0;0.97;1
0;1;-3.89;0;4.89;1
0;1;-0.19;0;1.19;1
0.07;0.93;-1.62;0;2.62;1
0.56;0.44;0.44;0;0.56;1
0;1;-2.09;0;3.09;1
1;0;-0.07;0;1.07;1
1;0;-0.36;0;1.36;1
1;0;0.97;0;0.03;1
1;0;-2.89;0;3.89;1
0;1;0.3;0;0.7;1
0.58;0.42;0;0;1;1
0.05;0.95;-1.13;0;2.13;1
0.23;0.77;0.12;0;0.88;1
0.04;0.96;0.45;0;0.55;1
0.25;0.75;1;0;0;1
0;1;-0.75;0;1.75;1
0.81;0.19;-0.56;0;1.56;1
0.72;0.28;0.76;0;0.24;1
0.84;0.16;0.09;0.26;0.65;1
1;0;0;0.27;0.73;1
0.57;0.43;-1.08;0;2.08;1
0;1;-36.47;0;37.47;1
0.16;0.84;-0.74;0.07;1.67;1
0.06;0.94;0.52;0;0.48;1
0.99;0.01;0.83;0.08;0.09;1
0;1;0.42;0;0.56;1
0.83;0.17;-1.67;0.01;2.66;0
1;0;-9.73;0;10.73;0
0.82;0.18;0.7;0.26;0.04;0
0.76;0.24;0.88;0;0.12;0
0.99;0.01;0.95;0;0.05;0
0;1;-57.11;0;58.11;0
1;0;-0.09;0;1.09;0
0;1;0.52;0;0.48;0
0.12;0.88;-0.66;0;1.66;0
0.78;0.22;0.62;0;0.38;0
0;1;-942.84;0;943.84;0
0.29;0.71;0.9;0;0.1;0
0.33;0.67;-0.19;0.02;1.17;0
0.73;0.27;-0.5;0;1.5;0
0;0;-34.2;0;0;0
0;0;0.37;0;0;0
0;0;-1.38;0;0;0
0.63;0.37;0.67;0;0.33;0
0.78;0.22;0.14;0.06;0.8;0
0;1;-20.18;0.19;20.99;0
1;0;-50.2;0;51.2;0
0.96;0.04;-0.04;0;1.04;0
0;1;-301.45;0;302.45;0
0.46;0.54;-9.94;0;10.94;0
0.03;0.97;0.76;0.02;0.22;0
0.55;0.45;-8.04;0;9.04;0
0;1;-27.42;0;28.42;0
0.82;0.18;0.82;0.11;0.06;0
1;0;-0.4;0;1.4;0
0;0;-4.62;0;0;0
0.66;0.34;0.83;0;0.17;0
0;1;0.94;0;0.06;0
0.64;0.36;0.02;0;0.98;0
0.37;0.63;0.87;0.07;0.06;0
0;1;0.81;0;0.19;0
0;1;-6.06;1.69;5.37;0
0.35;0.65;0.33;0.27;0.41;0
0.22;0.78;0.28;0;0.72;0
0;1;0.99;0;0.01;0
0.15;0.85;-4.54;3.01;2.54;0
0.71;0.29;-0.37;0;1.37;0
0.38;0.62;1;0;0;0
1;0;0.01;0.99;0;0
0.15;0.85;-0.32;0.38;0.95;0
0.39;0.61;0.89;0;0.11;0
0.28;0.72;-0.12;0.23;0.89;0
0.08;0.92;0.93;0;0.07;0
0.9;0.1;0.95;0;0.05;0
0.96;0.04;-1.55;0;2.55;0
0.66;0.34;0.43;0.37;0.2;0
